1.225, 2.7
4.125, 5.1
6.375, 8.6
10.475, 11.3
13.475, 13.2
15.775, 16.2
19.975, 17.1
27.625, 15.95
29.625, 13.5
30.675, 10.85
29.675, 7.15
28.925, 4.05
23.825, 2.05
20.625, 1.75
2.125, 5.25
6.575, 12.5
9.625, 13.35
12.375, 15.9
15.225, 17.15
18.575, 17.7
20.675, 18.15
24.625, 17.55
27.025, 16.65
28.925, 15.3
31.225, 12.55
31.475, 10.2
31.375, 7.85
31.225, 4.35
29.725, 3.1
26.075, 1.7
22.575, 0.7
21.475, 1.1
24.425, 1.15
25.975, 2.65
27.375, 2.45
28.025, 3.95
29.825, 5.35
29.825, 4.4
31.325, 5.65
30.775, 6.5
30.525, 7.8
32.325, 9.2
31.225, 9.2
30.225, 10
32.225, 10.9
31.775, 11.75
30.575, 12
30.525, 12.8
29.825, 12.7
30.525, 13.95
29.525, 14.7
28.825, 14.45
27.925, 14.9
28.575, 15.55
29.275, 16.2
27.925, 16.75
28.675, 17
27.175, 17.95
26.675, 17.55
25.875, 17.9
25.875, 16.15
25.725, 16.95
24.325, 18.5
23.325, 17.7
22.675, 18.25
22.375, 16.95
21.625, 17.75
22.925, 17.05
23.875, 16.7
21.125, 17.15
19.425, 18.25
19.075, 16.9
17.975, 18.1
16.925, 17.9
16.225, 18.25
16.175, 17.65
16.625, 16.35
18.175, 16.8
17.375, 17.2
17.975, 17.6
15.325, 15.9
14.325, 15.85
13.375, 16.1
12.975, 13.5
11.975, 14.7
11.675, 12.15
10.825, 15.05
9.725, 12.45
8.475, 13.3
8.075, 11.45
5.725, 11.15
3.975, 7.1
4.075, 7.85
5.125, 9.4
2.525, 8.1
2.775, 4.8
1.525, 5.95
0.975, 4
2.375, 3.4
0.825, 5.25
2.875, 6.5
2.475, 7.35
3.775, 8.35
4.375, 9.75
4.925, 8
5.125, 6.35
6.225, 8.05
6.525, 9.7
7.925, 9.95
9.525, 11.15
6.775, 11.1
8.125, 12.1
11.225, 13.25
10.125, 13.8
11.525, 14.4
9.725, 14.7
13.475, 14.6
14.275, 14.5
14.875, 15.15
14.475, 16.85
7.375, 12.4
3.425, 6.2
0.425, 2.8
0.425, 4.15
0.225, 1.5
2.225, 4
1.525, 4.65
3.225, 5.7
4.325, 6.25
3.025, 7.7
5.875, 8.55
5.825, 9.95
10.925, 12.45
12.125, 13.65
13.025, 14.7
13.525, 15.25
16.625, 16.8
17.475, 16.35
19.875, 17.8
21.125, 18.65
22.275, 18.8
22.475, 17.9
23.525, 18.45
23.925, 17.3
26.225, 15.4
30.875, 13.15
30.575, 11.1
30.775, 9.2
30.075, 8.7
30.375, 7.1
29.625, 6.45
30.125, 5.4
30.725, 5.85
30.375, 4.65
29.475, 4.9
28.725, 3.05
28.525, 3.6
27.825, 3.4
27.075, 3.5
26.825, 2.9
26.625, 2.35
25.125, 2.35
25.125, 1.85
24.875, 1.15
23.675, 1.2
22.775, 2.1
22.025, 1.55
21.525, 2.2
22.675, 1.3
23.375, 0.65
24.475, 1.95
25.725, 1.3
28.075, 1.55
28.525, 2.35
27.225, 1.85
28.025, 2.3
29.375, 2.35
30.375, 3.45
30.775, 4.1
31.575, 4.8
32.125, 5.95
31.775, 6.7
31.475, 7.05
31.025, 7.4
30.975, 8.7
31.675, 8.5
32.375, 7.95
32.275, 7.05
31.875, 7.7
32.375, 10.05
31.275, 11.2
30.675, 14.65
29.875, 15.65
31.425, 13.4
32.175, 12.35
